material,network_screen_rank,network_screen_score,support_class,interpretation_cn,peak_index,rank,mz,intensity,relative_intensity,polarity,rf_formula_raw,normalized_formula,rf_score,rf_ppm,same_material_mode_match,same_material_formula_match,generation_types,network_formula_modes,specificity_compound_count,all_network_compounds,formula_all_network_compounds
PPS,9,80.637,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,239,96,75.0233,34873.31,0.0009542258928427993,-,C₆H₃⁻,C6H3,100,9.7,True,True,adduct,negative; neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PPS,10,80.631,strict_common,同材料同极性命中，但跨材料较常见，作为辅助证据。,253,61,78.0441,16450.29,0.00045012339415940084,+,C₆H₆⁺,C6H6,100,29.5,True,True,adduct,neutral; positive,13,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR,COC; EVA; Nomex; PEEK; PEEK20%GFR; PEI; PET; PI; POMC; POMH; PPS; PPS40%GFR
PTFE,1,99.702,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,231,27,80.9933,97813.28,0.00163623840699894,-,C₂F₃⁻,C2F3,100,30.3,True,True,adduct,negative; neutral,2,ETFE; PTFE,ETFE; FEP; PFA; PTFE; PVDF
PTFE,2,99.411,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,189,4,68.9953,716289.43,0.011982220368168605,-,CF₃⁻,CF3,100,6.6,True,True,adduct,negative; neutral,3,FEP; PFA; PTFE,ETFE; FEP; PFA; PTFE
PTFE,3,98.27,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,386,130,132.9954,7337.7,0.00012274638534804397,-,C₃H₂F₅⁻,C3H2F5,100,96.3,True,True,adduct,negative; neutral; positive,1,PTFE,PTFE
PTFE,4,95.161,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,111,10,48.0001,248991.56,0.004165176277603419,-,CHFO⁻,CHFO,80,33.2,True,True,adduct,negative,3,ETFE; PTFE; PVDF,ETFE; PTFE; PVDF
PTFE,5,94.499,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,115,30,49.0068,94424.14,0.0015795442542755431,-,CH₂FO⁻,CH2FO,85,55.4,True,True,adduct,negative,3,ETFE; PTFE; PVDF,ETFE; PTFE; PVDF
PTFE,6,94.373,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,666,295,250.9799,1708.24,2.857575061762441e-05,-,C₅H₄F₉O⁻,C5H4F9O,100,129.5,True,True,adduct,negative,1,PTFE,PTFE
PTFE,7,94.29,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,923,299,381.9844,1687.21,2.82239569378788e-05,-,C₈HF₁₅⁻,C8HF15,100,0.0,True,True,adduct,negative; neutral; positive,1,PTFE,FEP; PFA; PTFE
PTFE,8,93.387,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,432,342,149.9927,1387.19,2.3205167598968767e-05,-,C₃H₃F₅O⁻,C3H3F5O,100,121.7,True,True,adduct,negative,1,PTFE,PTFE
PTFE,9,93.164,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,235,220,81.9964,2834.35,4.7413524307511674e-05,-,C₂HF₃⁻,C2HF3,100,87.6,True,True,adduct,negative; neutral; positive,2,ETFE; PTFE,ETFE; FEP; PFA; PTFE; PVDF
PTFE,10,93.059,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,191,112,69.9989,9221.38,0.00015425692831823944,-,CHF₃⁻,CHF3,100,66.9,True,True,adduct,negative; neutral; positive,3,FEP; PFA; PTFE,FEP; PFA; PTFE
PVDF,1,102.105,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,184,31,61.0079,113510.86,0.0017619857735636229,-,C₂H₂FO⁻,C2H2FO,97,26.5,True,True,adduct,negative,1,PVDF,PVDF
PVDF,2,99.344,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,350,36,92.9962,88533.19,0.001374266931535936,-,C₃F₃⁻,C3F3,100,-4.8,True,True,adduct,negative; neutral,2,ETFE; PVDF,ETFE; PVDF
PVDF,3,98.981,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,428,43,109.998,70895.46,0.0011004831778232398,-,C₃HF₃O⁻,C3HF3O,100,4.5,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
PVDF,4,98.528,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,433,53,111.0071,54796.52,0.0008505854742074416,-,C₃H₂F₃O⁻,C3H2F3O,100,-7.0,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
PVDF,5,98.507,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,118,8,48.0011,474050.13,0.007358499310250895,-,CHFO⁻,CHFO,98,12.3,True,True,adduct,negative,3,ETFE; PTFE; PVDF,ETFE; PTFE; PVDF
PVDF,6,97.926,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,502,66,128.9978,38275.19,0.0005941311717702134,-,C₃HF₄O⁻,C3HF4O,100,-7.0,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
PVDF,7,97.21,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,115,128,47.0278,56227.58,0.0008727992726150651,+,C₂H₄F⁺,C2H4F,82,28.8,True,True,adduct,negative; neutral; positive,1,PVDF,ETFE; PVDF
PVDF,8,97.155,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,282,67,80.0054,38221.31,0.0005932948130862988,-,C₂H₂F₂O⁻,C2H2F2O,95,31.5,True,True,adduct,negative,2,ETFE; PVDF,ETFE; PVDF
PVDF,9,96.511,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,196,106,63.005,18921.15,0.0002937057927273509,-,C₂HF₂⁻,C2HF2,100,2.9,True,True,adduct,negative; neutral,2,ETFE; PVDF,ETFE; PTFE; PVDF
PVDF,10,96.35,strict_specific,同材料同极性命中，且跨材料较少，优先作为材料相关峰。,30,4,25.0085,638372.08,0.00990920624863752,-,C₂H⁻,C2H,100,-5.0,True,True,adduct,negative; neutral,4,EVA; PEN; PET; PVDF,COC; ETFE; EVA; PEI; PEN; PET; PVDF
